央視頻道,#genre#
北京卫视,http://183.30.201.227:10002/rtp/239.77.1.13:5146
东方卫视,http://183.30.201.227:10002/rtp/239.77.0.59:5146
广东卫视,http://183.30.201.227:10002/rtp/239.77.0.65:5146
广东卫视,http://183.30.201.227:10002/rtp/239.77.0.66:5146
广东综艺,http://183.30.201.227:10002/rtp/239.77.0.244:5146
广东综艺,http://183.30.201.227:10002/rtp/239.77.0.245:5146
广东综艺,http://183.30.201.227:10002/rtp/239.77.1.237:5146
深圳卫视,http://183.30.201.227:10002/rtp/239.77.0.67:5146
深圳卫视,http://183.30.201.227:10002/rtp/239.77.1.14:5146
湖南卫视,http://183.30.201.227:10002/rtp/239.77.0.56:5146
山东卫视,http://183.30.201.227:10002/rtp/239.77.0.61:5146
四川卫视,http://183.30.201.227:10002/rtp/239.77.0.60:5146
浙江卫视,http://183.30.201.227:10002/rtp/239.77.0.58:5146
江苏卫视,http://183.30.201.227:10002/rtp/239.77.0.57:5146
南国都市,http://183.30.201.227:10002/rtp/239.253.43.99:5146
多彩文体,http://116.237.161.27:8881/rtp/233.18.204.115:5140
多彩文体,http://116.237.161.27:8881/rtp/233.18.204.205:5140
BesTV4K动画,http://116.237.161.27:8881/rtp/233.18.204.171:5140
BesTV4K电影,http://116.237.161.27:8881/rtp/233.18.204.169:5140
BesTV4K记录,http://116.237.161.27:8881/rtp/233.18.204.170:5140

港澳頻道,#genre#
翡翠台,http://o11.163189.xyz/stream/tvb/fct4k/
翡翠台,http://o11.163189.xyz/stream/tvb/fct/
翡翠台,http://120.234.44.98:18180/TV00000000000000000032@HHZT
明珠台,http://mytv.cdn.loc.cc/o12.php?id=mzt
明珠台,http://o11.163189.xyz/stream/tvb/mzt/
明珠台,http://120.234.44.98:18180/TV00000000000000000035@HHZT
TVB1,https://cdn6.163189.xyz/163189/tvb1
TVBJ1,https://cdn6.163189.xyz/163189/j1
TVBPlus,https://o11.163189.xyz/stream/tvb/tvbp/
TVB星河,https://o11.163189.xyz/stream/live/tvbxh/
TVB亚洲武侠,https://cdn6.163189.xyz/163189/yzwx
华丽翡翠台,https://o11.163189.xyz/stream/live/hlt/
千禧经典台,https://o11.163189.xyz/stream/live/tvbc/
无线新闻台,https://cdn6.163189.xyz/163189/wxxw
无线新闻台,http://120.234.44.98:18180/TV00000000000000000034@HHZT
娱乐新闻台,https://cdn6.163189.xyz/163189/ylxw
NOW新闻,https://cdn.163189.xyz/163189/now
凤凰中文台,https://cdn6.163189.xyz/163189/fhzw
凤凰中文台,http://120.234.44.98:18180/TV00000000000000000008@HHZT
凤凰资讯台,https://cdn6.163189.xyz/163189/fhzx
凤凰资讯台,http://120.234.44.98:18180/TV00000000000000000009@HHZT
凤凰香港台,https://cdn6.163189.xyz/163189/fhhk
凤凰香港台,http://120.234.44.98:18180/TV00000000000000000024@HHZT
AstroAOD,https://o11.163189.xyz/stream/live/aod/
AstroAEC,https://o11.163189.xyz/stream/live/aec/
Astro欢喜台,https://o11.163189.xyz/stream/live/hxt/
Channel5,https://cdn6.163189.xyz/163189/ch5
Channel8,https://cdn6.163189.xyz/163189/ch8
ChannelU,https://cdn6.163189.xyz/163189/chu
HOY76,https://cdn11.163189.xyz/163189/2c86601a7180416e
HOY77,https://cdn6.163189.xyz/163189/hoy
HOY78,https://cdn.163189.xyz/163189/hoy78
RTHK31,https://cdn.163189.xyz/163189/rthk31
RTHK32,https://cdn.163189.xyz/163189/rthk32
VIUTV,http://120.234.44.98:18180/TV00000000000000000037@HHZT
VIUTV6,http://120.234.44.98:18180/TV00000000000000000084@HHZT
澳视澳门,https://cdn6.163189.xyz/163189/asam
澳视卫星,https://cdn6.163189.xyz/163189/as
澳门体育,https://cdn6.163189.xyz/163189/amty
澳门综艺,https://cdn6.163189.xyz/163189/amzy
澳门莲花,https://cdn6.163189.xyz/163189/amlh

廣東頻道,#genre#
大湾区卫视,http://183.30.201.227:10002/rtp/239.77.0.215:5146
广东珠江,http://183.30.201.227:10002/rtp/239.77.0.1:5146
广东珠江,http://183.30.201.227:10002/rtp/239.77.0.114:5146
广东新闻,http://183.30.201.227:10002/rtp/239.77.0.173:5146
广东体育,http://183.30.201.227:10002/rtp/239.77.0.112:5146
广东体育,http://183.30.201.227:10002/rtp/239.77.0.168:5146
广东影视,http://183.30.201.227:10002/rtp/239.77.0.217:5146
广东民生,http://183.30.201.227:10002/rtp/239.77.0.225:5146
广东少儿,http://183.30.201.227:10002/rtp/239.77.0.250:5146
广东经济科教,http://183.30.201.227:10002/rtp/239.77.0.85:5146
广东经济科教,http://183.30.201.227:10002/rtp/239.77.0.167:5146
岭南戏曲,http://183.30.201.227:10002/rtp/239.77.0.122:5146
广州综合,http://183.30.201.227:10002/rtp/239.253.43.71:5146
广州新闻,http://183.30.201.227:10002/rtp/239.253.43.72:5146
深圳都市,http://183.30.201.227:10002/rtp/239.77.1.124:5146
深圳都市,http://183.30.201.227:10002/rtp/239.77.1.176:5146
深圳少儿,http://183.30.201.227:10002/rtp/239.77.1.244:5146
深圳电视剧,http://183.30.201.227:10002/rtp/239.77.1.125:5146
深圳电视剧,http://183.30.201.227:10002/rtp/239.77.1.177:5146
深圳龙岗,http://183.30.201.227:10002/rtp/239.77.1.223:5146
深圳宝安,http://183.30.201.227:10002/rtp/239.77.1.67:5146
深圳宜和购物,http://183.30.201.227:10002/rtp/239.77.1.87:5146
东莞综合,http://183.30.201.227:10002/rtp/239.253.43.104:5146
东莞生活资讯,http://183.30.201.227:10002/rtp/239.253.43.105:5146
佛山综合,http://183.30.201.227:10002/rtp/239.253.43.57:5146
佛山南海,http://183.30.201.227:10002/rtp/239.253.43.54:5146
佛山城市生活,http://183.30.201.227:10002/rtp/239.253.43.53:5146
佛山顺德,http://183.30.201.227:10002/rtp/239.253.43.55:5146
江门综合,http://183.30.201.227:10002/rtp/239.77.0.201:5146
汕头综合,http://183.30.201.227:10002/rtp/239.253.43.45:5146
汕头经济生活,http://183.30.201.227:10002/rtp/239.77.1.131:5146
汕头经济生活,http://183.30.201.227:10002/rtp/239.253.43.46:5146
汕尾新闻综合,http://183.30.201.227:10002/rtp/239.77.0.25:5146
揭阳综合,http://183.30.201.227:10002/rtp/239.77.0.229:5146
潮州综合,http://183.30.201.227:10002/rtp/239.253.43.70:5146
潮州民生,http://183.30.201.227:10002/rtp/239.253.43.75:5146
河源综合,http://183.30.201.227:10002/rtp/239.253.43.213:5146
河源生活,http://183.30.201.227:10002/rtp/239.253.43.214:5146
惠州综合,http://183.30.201.227:10002/rtp/239.77.1.232:5146
惠州综合,http://183.30.201.227:10002/rtp/239.77.1.233:5146
梅州综合,http://183.30.201.227:10002/rtp/239.253.43.123:5146
